GeoAreaName;Rural1;Rural2;AllArea1;AllArea2;Urban1;Urban2;Kommentar
"Asia";1.11588;6.76231;-3.87743;1.95294;-0.78724;0.64677;
"Australia";;;;;11.98738;13.65317;
"Central America";-3.91367;-11.44894;-18.8535;-23.84149;;;
"Central Asia";-9.32227;-0.10043;-6.70355;0.33223;-2.54186;5.26043;
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)";;;30.39848;25.04449;10.56581;11.89421;
"Eastern Africa";-37.62182;-44.096;-51.49337;-49.53752;-48.47952;-31.9557;"2002"
"Eastern Asia";;;;;7.752;8.18699;
"Eastern Europe";;;14.31558;14.30874;;;
"Europe";;;28.39103;22.77062;;;
"Landlocked developing countries (LLDCs)";-27.65602;-33.21962;-35.50526;-35.78537;-22.58424;-15.84727;
"Latin America and the Caribbean";-6.17276;-11.3784;-5.02566;3.6713;-3.80224;-2.88522;"2009"
"Least Developed Countries (LDCs)";-21.03297;-26.8773;-36.19095;-35.89506;-41.15312;-32.97859;
"Northern America";;;34.68548;28.38854;13.43456;14.49781;"2005"
"Northern Europe";;;36.36206;28.67554;;;
"Oceania";;;;;5.37676;10.98269;
"South America";-5.40067;-11.23013;14.35268;9.04276;0.0743;1.78904;
"Southern Africa";;;;;2.73798;-3.27474;
"Southern Asia";-8.41966;6.8302;-20.94756;-11.24772;-23.15902;-26.61129;
"Southern Europe";;;24.75042;23.38779;;;
"Sub-Saharan Africa (inc. Sudan)";-32.53217;-40.86057;-43.08389;-43.27746;-43.46367;-34.63807;
"Western Africa";-30.53245;-37.6229;-43.94454;-46.93163;-52.93989;-51.59187;
"Western Asia";;;5.27494;5.11011;;;
"Western Europe";;;37.20656;28.35763;;;