Year;Value;Location;GeoArea
2000;61.25434;ALLAREA;World
2000;86.17919;URBAN;World
2000;39.4361;RURAL;World
2001;61.70454;ALLAREA;World
2001;86.13555;URBAN;World
2001;39.92612;RURAL;World
2002;86.34688;URBAN;World
2002;62.83692;ALLAREA;World
2002;41.45364;RURAL;World
2003;86.29749;URBAN;World
2003;42.55228;RURAL;World
2003;63.60941;ALLAREA;World
2004;63.93015;ALLAREA;World
2004;42.79121;RURAL;World
2004;86.24792;URBAN;World
2005;43.03233;RURAL;World
2005;64.24246;ALLAREA;World
2005;86.18039;URBAN;World
2006;86.12835;URBAN;World
2006;43.29615;RURAL;World
2006;64.56688;ALLAREA;World
2007;86.07311;URBAN;World
2007;64.88221;ALLAREA;World
2007;43.55946;RURAL;World
2008;43.8296;RURAL;World
2008;65.19863;ALLAREA;World
2008;86.01056;URBAN;World
2009;44.8021;RURAL;World
2009;65.85203;ALLAREA;World
2009;85.94473;URBAN;World
2010;85.87328;URBAN;World
2010;66.49626;ALLAREA;World
2010;45.78517;RURAL;World
2011;46.81956;RURAL;World
2011;85.77981;URBAN;World
2011;67.12907;ALLAREA;World
2012;47.85402;RURAL;World
2012;67.74305;ALLAREA;World
2012;85.68166;URBAN;World
2013;48.89293;RURAL;World
2013;68.34628;ALLAREA;World
2013;85.57937;URBAN;World
2014;49.93764;RURAL;World
2014;85.4778;URBAN;World
2014;68.94266;ALLAREA;World
2015;50.98648;RURAL;World
2015;85.37737;URBAN;World
2015;69.53274;ALLAREA;World
2016;85.26961;URBAN;World
2016;52.0242;RURAL;World
2016;70.10356;ALLAREA;World
2017;53.03716;RURAL;World
2017;70.64488;ALLAREA;World
2017;85.14748;URBAN;World
2000;1.13331;RURAL;Uganda
2000;25.75991;URBAN;Uganda
2000;4.7746;ALLAREA;Uganda
2001;1.28316;RURAL;Uganda
2001;25.18094;URBAN;Uganda
2001;4.91586;ALLAREA;Uganda
2002;1.43872;RURAL;Uganda
2002;24.6004;URBAN;Uganda
2002;5.05796;ALLAREA;Uganda
2003;1.59999;RURAL;Uganda
2003;24.01829;URBAN;Uganda
2003;5.20059;ALLAREA;Uganda
2004;23.43463;URBAN;Uganda
2004;5.34364;ALLAREA;Uganda
2004;1.76696;RURAL;Uganda
2005;5.48593;ALLAREA;Uganda
2005;1.93963;RURAL;Uganda
2005;22.84939;URBAN;Uganda
2006;2.11802;RURAL;Uganda
2006;5.62821;ALLAREA;Uganda
2006;22.26259;URBAN;Uganda
2007;2.3021;RURAL;Uganda
2007;5.76952;ALLAREA;Uganda
2007;21.67423;URBAN;Uganda
2008;2.4919;RURAL;Uganda
2008;5.90992;ALLAREA;Uganda
2008;21.0843;URBAN;Uganda
2009;6.0487;ALLAREA;Uganda
2009;2.68739;RURAL;Uganda
2009;20.4928;URBAN;Uganda
2010;19.89974;URBAN;Uganda
2010;6.18587;ALLAREA;Uganda
2010;2.8886;RURAL;Uganda
2011;19.30512;URBAN;Uganda
2011;6.3209;ALLAREA;Uganda
2011;3.09551;RURAL;Uganda
2012;18.70892;URBAN;Uganda
2012;3.30812;RURAL;Uganda
2012;6.45358;ALLAREA;Uganda
2013;6.58311;ALLAREA;Uganda
2013;3.52644;RURAL;Uganda
2013;18.11117;URBAN;Uganda
2014;3.75047;RURAL;Uganda
2014;6.70972;ALLAREA;Uganda
2014;17.51185;URBAN;Uganda
2015;16.91096;URBAN;Uganda
2015;6.83273;ALLAREA;Uganda
2015;3.9802;RURAL;Uganda
2016;6.95153;ALLAREA;Uganda
2016;4.21564;RURAL;Uganda
2016;16.30851;URBAN;Uganda
2017;4.45678;RURAL;Uganda
2017;15.70449;URBAN;Uganda
2017;7.0658;ALLAREA;Uganda
2000;100;URBAN;Singapore
2000;100;ALLAREA;Singapore
2001;100;URBAN;Singapore
2001;100;ALLAREA;Singapore
2002;100;URBAN;Singapore
2002;100;ALLAREA;Singapore
2003;100;URBAN;Singapore
2003;100;ALLAREA;Singapore
2004;100;URBAN;Singapore
2004;100;ALLAREA;Singapore
2005;100;ALLAREA;Singapore
2005;100;URBAN;Singapore
2006;100;ALLAREA;Singapore
2006;100;URBAN;Singapore
2007;100;URBAN;Singapore
2007;100;ALLAREA;Singapore
2008;100;URBAN;Singapore
2008;100;ALLAREA;Singapore
2009;100;URBAN;Singapore
2009;100;ALLAREA;Singapore
2010;100;URBAN;Singapore
2010;100;ALLAREA;Singapore
2011;100;URBAN;Singapore
2011;100;ALLAREA;Singapore
2012;100;ALLAREA;Singapore
2012;100;URBAN;Singapore
2013;100;URBAN;Singapore
2013;100;ALLAREA;Singapore
2014;100;URBAN;Singapore
2014;100;ALLAREA;Singapore
2015;100;ALLAREA;Singapore
2015;100;URBAN;Singapore
2016;100;URBAN;Singapore
2016;100;ALLAREA;Singapore
2017;100;URBAN;Singapore
2017;100;ALLAREA;Singapore